SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1715797959.120696, 1.417218, 1.760337, -12.086080, -1.495606, 0.020271, -0.496812, 18.879776, 136.392578, -233.179062
1715797959.154073, 0.560243, 2.416647, -12.301558, -1.316112, 0.291341, -0.595625, 17.964523, 135.508881, -232.948578
1715797959.187462, 0.850989, 2.533514, -13.253702, -1.240975, -0.092122, -0.464354, 17.260986, 133.958038, -232.901398
1715797959.220792, 0.209792, 3.606715, -14.867693, -0.905312, -0.147363, -0.493134, 17.304108, 133.462143, -233.067169
1715797959.254079, 0.537349, 3.214066, -14.099454, -0.763782, -0.058781, -0.738491, 16.932083, 132.445679, -232.851044
1715797959.287381, 1.794454, 4.310012, -13.727305, -0.872250, -0.317260, -0.383627, 17.171371, 131.567566, -233.040955
1715797959.320690, 0.475099, 4.896442, -14.598345, -0.796335, -0.461794, -0.410623, 17.297577, 130.277847, -232.781494
1715797959.354074, 1.242441, 4.331410, -15.292514, -0.564291, -0.300507, -0.589714, 17.757278, 129.953934, -233.127563
1715797959.387241, 2.155230, 3.549853, -16.392351, 0.261066, 1.199862, -0.856751, 17.057678, 129.173004, -233.223511
1715797959.420793, 1.526902, 3.622726, -15.312865, 0.607600, 0.230038, -0.649937, 16.238937, 129.539886, -233.094254
1715797959.454102, 2.071134, 3.204639, -12.447155, 0.073895, -0.541603, -0.281150, 16.184799, 129.606491, -233.250763
1715797959.487356, 1.184681, 2.773982, -13.479056, -0.280060, -0.086782, -0.023731, 16.080597, 129.470352, -233.230957
1715797959.520742, 0.760608, 2.932149, -14.693365, -0.158484, -0.563132, 0.384288, 16.709412, 129.460648, -233.363693
1715797959.554024, -0.115820, 2.831143, -15.412972, -0.017095, -0.550096, 0.599947, 17.062347, 129.680206, -233.324158
1715797959.587460, -0.165948, 3.164686, -16.954240, 0.302272, -0.092827, 0.607463, 17.482391, 129.594528, -233.256622
1715797959.620795, 0.213533, 3.640833, -17.151163, 0.310623, 0.142810, 0.630099, 17.519379, 130.269211, -233.550583
1715797959.654126, 1.457171, 4.248511, -17.364696, 0.254154, 0.316286, 0.744591, 17.510300, 131.011932, -233.145309
1715797959.687380, 2.676717, 4.281730, -18.073379, 0.399988, 0.318587, 1.054932, 17.402634, 131.260300, -232.962799
1715797959.720798, 2.367417, 4.422240, -16.596007, 0.514954, -0.975396, 1.651278, 18.237122, 131.786987, -232.624176
1715797959.754038, 0.833930, 4.434660, -13.845967, 0.204202, -1.556568, 1.684003, 19.886154, 132.646317, -232.472382
1715797959.787457, -0.945261, 2.663100, -14.888343, 0.280171, -0.732929, 1.009159, 20.378647, 132.453613, -232.344559
1715797959.820693, -0.024690, 2.481291, -12.748076, 1.269329, -0.271953, 0.713337, 21.461105, 133.153656, -231.883453
1715797959.854132, -0.672621, 1.764227, -10.541520, 1.456854, -0.673500, 0.538030, 22.501389, 133.875717, -232.077530
1715797959.887406, -1.407791, 1.170166, -7.823503, 1.361835, -0.893105, 0.175244, 23.460327, 134.799759, -232.737839
1715797959.920792, -1.478120, 0.981623, -6.360795, 1.003306, -1.422131, 0.030002, 23.648697, 135.157150, -232.821182
1715797959.954046, -2.307113, 0.720655, -5.619341, 0.942474, -1.078123, -0.406671, 24.956345, 135.787430, -233.738525
1715797959.987368, -1.967286, 0.403573, -4.649091, 0.803009, -0.763550, -0.745371, 25.514130, 136.395065, -234.281998
1715797960.020774, -0.364517, -0.106991, -4.349516, 1.180600, -0.535471, -0.771975, 25.540497, 136.434326, -234.886932
1715797960.054222, 0.212336, -0.327108, -4.155436, 1.266130, -0.790795, -0.566963, 25.717041, 137.784393, -235.493530
1715797960.087446, -0.199467, -0.190638, -2.783708, 1.249614, -0.169032, -0.626006, 25.812668, 138.537918, -236.714081
1715797960.120825, -0.474351, -0.686088, -1.984344, 0.895229, -0.095148, -0.780175, 25.286942, 139.441330, -237.412598
1715797960.154091, 0.359430, -1.193210, -2.341529, 0.282137, -1.126192, -0.522823, 25.493210, 139.714035, -237.469879
1715797960.187494, 0.436194, -1.619677, -2.589179, 0.200950, -0.680384, -0.370620, 25.908524, 139.856613, -237.964752
1715797960.220810, 0.769736, -2.017115, -3.031807, 0.180858, 0.165222, -0.111217, 25.833801, 140.041962, -238.091660
1715797960.254046, 0.344316, -2.335843, -2.733131, 0.457152, 0.977098, 0.240716, 25.560593, 140.086624, -238.183868
1715797960.287215, -0.021398, -2.970755, -1.276858, 0.221605, 1.116930, 0.361722, 25.345245, 140.148453, -238.430679
1715797960.320800, -0.199467, -2.199822, -0.848894, -0.488771, 0.947518, 0.506516, 24.980148, 139.938019, -237.594009
1715797960.354062, -0.348955, -2.901473, -3.313575, -0.762972, 0.817420, 0.621971, 24.797363, 139.430344, -237.427795
1715797960.387561, -0.352247, -3.064877, -3.708469, -0.614290, 0.965505, 0.496292, 24.916550, 139.260956, -236.692749
1715797960.420726, 0.326360, -1.810316, -4.386177, -0.866909, 1.298650, 0.513352, 23.859009, 138.813690, -235.664520
1715797960.454139, 0.026037, -2.126350, -5.893477, -0.675464, 1.384046, 0.274807, 22.967850, 138.217346, -234.959061
1715797960.487562, 0.691176, -0.897975, -6.443395, -0.799182, 1.571461, 0.240814, 22.557007, 137.908813, -234.523621
1715797960.520722, 0.115221, -1.206229, -7.210886, -0.669996, 1.722592, -0.125760, 21.596512, 137.635132, -233.924240
1715797960.554119, 1.358560, 0.914585, -7.408408, -0.904364, 1.664846, -0.652410, 19.793213, 137.364532, -233.227051
1715797960.587485, 2.831892, 0.800561, -8.439262, -1.383246, 1.148252, -0.439823, 19.175705, 136.974106, -233.256714
1715797960.620727, 3.141193, 1.886032, -9.184008, -1.542653, 1.154114, -0.292280, 18.193924, 135.932999, -232.787308
1715797960.654045, 1.075445, 2.778770, -12.742989, -2.004081, 0.770392, -0.272306, 17.017426, 134.613449, -232.409241
1715797960.687374, 1.068263, 2.523937, -14.027029, -1.274573, 0.268407, -0.917219, 16.349136, 133.403763, -231.859787
1715797960.720728, 2.394651, 3.710414, -12.942755, -1.271363, 0.369255, -0.912034, 15.863922, 132.835556, -231.953812
1715797960.754039, 2.912696, 3.710713, -15.419557, -0.686783, 0.797330, -1.238134, 14.919281, 131.689011, -232.199203
1715797960.787377, 3.398719, 4.281132, -13.935451, -0.535223, -0.528691, -0.795440, 14.899887, 131.204437, -232.354065
1715797960.820728, 1.960103, 4.331709, -13.467833, -0.516759, -0.115483, -1.143029, 14.633789, 130.797043, -232.610901
1715797960.854054, 4.074183, 4.301183, -15.381698, -0.383495, -0.060592, -1.339121, 14.254135, 130.072815, -232.785873
1715797960.887377, 5.047127, 4.572177, -17.206529, 0.493172, -0.731507, -0.122151, 14.760773, 129.495834, -232.963013
1715797960.920722, 1.859397, 3.557933, -15.266328, 0.740553, -0.523652, -0.283913, 14.865662, 129.743286, -232.973770
1715797960.954111, 1.927632, 2.882918, -13.904925, 0.280242, -0.252716, -0.568930, 15.112106, 129.757095, -233.085098
1715797960.987444, 3.493739, 2.227206, -15.837045, 0.174099, -0.204916, -0.174209, 14.933014, 129.855392, -233.243622
1715797961.020747, 2.928857, 1.958008, -15.499313, 0.282681, -0.531546, 0.274420, 15.420074, 129.790833, -233.267410
1715797961.054081, 2.670133, 2.303970, -15.173253, 0.313778, -0.059944, 0.600260, 15.649551, 130.196930, -233.226364
1715797961.087415, 2.260276, 2.797924, -15.731102, 0.241311, 0.280847, 0.881185, 15.663025, 130.667526, -233.261490
1715797961.120752, 1.689708, 3.375525, -16.708086, -0.329463, -0.256888, 1.033503, 15.854111, 130.921448, -233.311890
1715797961.154061, 3.286640, 4.029441, -17.264289, -0.783440, 0.929000, 0.832113, 16.285019, 131.020477, -233.040756
